instance_name	mpn	item_type	lib_repo	lib_subpath	lib_desc	lib_latest_rev	lib_rev_used_here	lib_status	lib_releaseticket	lib_datestarted	lib_datemodified	lib_datereleased	lib_drawnby	lib_checkedby	project_editable_lib_modified
blockdiagram-1	kicad_sch_to_pdf	macro	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	system_artifacts		1	1			10/8/25	11/4/25				False
bom-1	kicad_pro_to_bom	macro	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	system_builder		1	1			8/23/25	11/4/25				False
MIC2	sm58	device	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	pro_audio/shure/	MICROPHONE, HANDHELD	1	1			9/21/25	10/23/25				False
MIC3	sm58	device	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	pro_audio/shure/	MICROPHONE, HANDHELD	1	1			9/21/25	10/23/25				False
MIC100	sm58	device	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	pro_audio/shure/	MICROPHONE, HANDHELD	1	1			9/21/25	10/23/25				False
PREAMP1	726787	device	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	pro_audio/applied_research_and_technology/	PREAMP, 2CH	1	1			9/21/25	11/4/25				False
PREAMP2	726787	device	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	pro_audio/applied_research_and_technology/	PREAMP, 2CH	1	1			9/21/25	11/4/25				False
VOCAL1	sm58	device	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	pro_audio/shure/	MICROPHONE, HANDHELD	1	1			9/21/25	10/23/25				False
X1	tascam-db25	disconnect	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	audio/	DSUB DISCONNECT, BALANCED AUDIO	1	1			9/25/25	10/23/25				False
X2	tascam-db25	disconnect	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	audio/	DSUB DISCONNECT, BALANCED AUDIO	1	1			9/25/25	10/23/25				False
X3	tascam-db25	disconnect	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	audio/	DSUB DISCONNECT, BALANCED AUDIO	1	1			9/25/25	10/23/25				False
system-connector-list-1	kicad_pro_to_system_connector_list	macro	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	system_builder		1	1			8/17/25	11/4/25				False
channel-mapper-1	basic_channel_mapper	macro	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	system_builder		1	1			7/20/25	11/4/25				False
disconnect-mapper-1	disconnect_mapper	macro	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	system_builder		1	1			10/4/25	11/4/25				False
cable-1	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-1	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-9	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-9	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-12	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-12	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-14	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-14	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-15	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-15	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-17	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-17	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-20	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-20	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-22	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-22	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-23	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-23	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-30	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
cable-30	8762 0602000	cable	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	belden	SHIELDED TWISTED PAIR	1	1			10/18/25	11/17/25		K SHUTT		False
blockdiagram-chmap-1	kicad_sch_net_overlay	macro	/Users/kenyonshutt/Documents/GitHub/harnice/library_public	system_artifacts	Produces a PDF drawing of a system block diagram but shows channels instead of harnesses	1	1			1/20/26	1/27/26		K SHUTT		False
