A-side_device_refdes	A-side_device_channel_id	A-side_device_channel_type	B-side_device_refdes	B-side_device_channel_id	B-side_device_channel_type	disconnect_refdes	disconnect_channel_id	A-port_channel_type	B-port_channel_type	manual_map_channel_python_equiv
MIC2	out1	(2, 'https://github.com/harnice/harnice')	PREAMP1	in2	(1, 'https://github.com/harnice/harnice')	X2	ch0	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	disconnect_map.assign(('MIC2', 'out1'), ('X2', 'ch0'))
MIC2	out1	(2, 'https://github.com/harnice/harnice')	PREAMP1	in2	(1, 'https://github.com/harnice/harnice')	X1	ch0	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	disconnect_map.assign(('MIC2', 'out1'), ('X1', 'ch0'))
MIC100	out1	(2, 'https://github.com/harnice/harnice')	PREAMP1	in1	(1, 'https://github.com/harnice/harnice')	X1	ch1	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	disconnect_map.assign(('MIC100', 'out1'), ('X1', 'ch1'))
MIC2	out1-shield	(5, 'https://github.com/harnice/harnice')	MIC100	out1-shield	(5, 'https://github.com/harnice/harnice')	X2	ch0-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	disconnect_map.assign(('MIC2', 'out1-shield'), ('X2', 'ch0-shield'))
VOCAL1	out1	(2, 'https://github.com/harnice/harnice')	PREAMP2	in2	(1, 'https://github.com/harnice/harnice')	X1	ch2	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	disconnect_map.assign(('VOCAL1', 'out1'), ('X1', 'ch2'))
VOCAL1	out1-shield	(5, 'https://github.com/harnice/harnice')	PREAMP2	in2-shield	(5, 'https://github.com/harnice/harnice')	X1	ch0-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	disconnect_map.assign(('VOCAL1', 'out1-shield'), ('X1', 'ch0-shield'))
MIC3	out1	(2, 'https://github.com/harnice/harnice')	PREAMP2	in1	(1, 'https://github.com/harnice/harnice')	X3	ch0	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	disconnect_map.assign(('MIC3', 'out1'), ('X3', 'ch0'))
MIC3	out1	(2, 'https://github.com/harnice/harnice')	PREAMP2	in1	(1, 'https://github.com/harnice/harnice')	X1	ch3	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	disconnect_map.assign(('MIC3', 'out1'), ('X1', 'ch3'))
MIC3	out1-shield	(5, 'https://github.com/harnice/harnice')	PREAMP1	in1-shield	(5, 'https://github.com/harnice/harnice')	X3	ch0-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	disconnect_map.assign(('MIC3', 'out1-shield'), ('X3', 'ch0-shield'))
MIC3	out1-shield	(5, 'https://github.com/harnice/harnice')	PREAMP1	in1-shield	(5, 'https://github.com/harnice/harnice')	X1	ch1-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	disconnect_map.assign(('MIC3', 'out1-shield'), ('X1', 'ch1-shield'))
						X1	ch2-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X1	ch3-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X1	ch4	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X1	ch4-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X1	ch5	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X1	ch5-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X1	ch6	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X1	ch6-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X1	ch7	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X1	ch7-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X2	ch1	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X2	ch1-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X2	ch2	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X2	ch2-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X2	ch3	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X2	ch3-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X2	ch4	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X2	ch4-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X2	ch5	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X2	ch5-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X2	ch6	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X2	ch6-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X2	ch7	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X2	ch7-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X3	ch1	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X3	ch1-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X3	ch2	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X3	ch2-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X3	ch3	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X3	ch3-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X3	ch4	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X3	ch4-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X3	ch5	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X3	ch5-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X3	ch6	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X3	ch6-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
						X3	ch7	(1, 'https://github.com/harnice/harnice')	(2, 'https://github.com/harnice/harnice')	
						X3	ch7-shield	(5, 'https://github.com/harnice/harnice')	(5, 'https://github.com/harnice/harnice')	
